sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
90,"Urban Development & Building Office Ghorahi, Dang","OM Shanti Building Construction Work (Talla Thap), Ghorahi Dang.",3552944.71,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/11-.2078/79
91,"Urban Development and Building Office, Rupandehi","Construction of Drain at Suddodhan-02, Bangai, Rupandehi. (Sahari Purbadhar Nirman)",2529089.73,Works,NCB,Completed,UDB-RUP/34701014/NCB/078-79/53
92,"Urban Development & Building Office Ghorahi, Dang","B.P. Smriti Building Construction Works (Talla Thap), Lamahi, Dang.",4131919.69,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/17-2078/79
93,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Kathal Malhaniya Multispan Trail Bridge",242793704.20,Works,NCB,Completed,NCB-17/078/79
94,"Urban Development & Building Office Ghorahi, Dang","Gobardiha BastiBikas Road And Drain Construction Works, Gadhawa 3, Dang.",1736181.38,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/05-2078/79
95,"Infrastructure Development office, Rupandehi","Construction of Tinau Khola Motorable RCC Tee Beam Bridge , Duimuhan , Rupandehi",135157845.58,Works,NCB,In-Progress,RIDO/RUP/LRBP/BR/134/NCB/078-79/51
96,"Urban Development & Building Office Ghorahi, Dang","GauriShankar Mandir-Lokmani Chowk-Bhagwanpur Road And Drain Construction Works., Ghorahi 16, Dang.",3359716.58,Works,NCB,In-Progress,UDBO/DANG/NCB/WORKS/03-2078/79
97,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure at Children Park, Sarawal-01, Rajahawa, Nawalparasi (West)",894803.78,Works,NCB,In-Progress,UDB-RUP/34701014/NCB/078-79/48
98,"Urban Development and Building Office, Rupandehi","Construction of Shed (truss) of Pratappur Healthpost, Belatari.",1303315.45,Works,NCB,In-Progress,UDB-RUP/37000012/NCB/078-79/49
99,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure  at Gausala, Tilottama-1 & 8. Rupandehi.",2867116.23,Works,NCB,Completed,UDB-RUP/34701013/NCB/078-79/66
100,"Urban Development and Building Office, Rupandehi","Construction of  Compound wall at Tharu sanskritik. sainamaina-04, kusma, Rupandehi.",1071455.27,Works,NCB,Completed,UDB-RUP/34701013/NCB/078-79/68
101,"Infrastructure Development office, Rupandehi","Construction of Bhaluhi Khola  RCC Tee Beam Bridge , West Nawalparasi",105937430.23,Works,NCB,In-Progress,RIDO/RUP/LRBP/BR/134/NCB/078-79/52
